formattedAddress,location,rating,displayName,latitude,longitude,address
"2200 Frederick Douglass Blvd, New York, NY 10026, USA","{'latitude': 40.806111099999995, 'longitude': -73.9538889}",4.1,"{'text': 'Des Ambassades', 'languageCode': 'en'}",40.80619425424,-73.954052367635,2204 Fredrick Douglass Bl
"1102 Broadway, Brooklyn, NY 11206, USA","{'latitude': 40.693965999999996, 'longitude': -73.930402}",4.0,"{'text': 'juicetruckNycw', 'languageCode': 'en'}",40.693762450262,-73.930448750702,1100 Dekalb Avenue
"950B Anderson Ave, Bronx, NY 10452, USA","{'latitude': 40.830912999999995, 'longitude': -73.9279452}",1.7,"{'text': 'Waggy deli grocery', 'languageCode': 'es'}",40.830834276678,-73.928180130097,946 Anderson Avenue
"2607 Bedford Ave, Brooklyn, NY 11226, USA","{'latitude': 40.6397568, 'longitude': -73.9540501}",3.6,"{'text': 'KC Supermarket & Deli', 'languageCode': 'en'}",40.639628082703,-73.953990947885,2406 Newkirk Avenue
"Broadway &, W 145th St, New York, NY 10031, USA","{'latitude': 40.826517599999995, 'longitude': -73.950136}",4.6,"{'text': 'Yolanda’s Tamales', 'languageCode': 'en'}",40.826569692997,-73.950352630669,3543 Broadway
"1739 Amsterdam Ave, New York, NY 10031, USA","{'latitude': 40.8259554, 'longitude': -73.9468552}",4.8,"{'text': 'Oh Craft! Beer & Wine', 'languageCode': 'en'}",40.826043959518,-73.947021545774,1740 Amsterdam Ave
"1739 Amsterdam Ave, New York, NY 10031, USA","{'latitude': 40.8259559, 'longitude': -73.9468807}",4.4,"{'text': 'Village Chicken & Burger', 'languageCode': 'en'}",40.826043959518,-73.947021545774,1740 Amsterdam Ave
"1739 Amsterdam Ave, New York, NY 10031, USA","{'latitude': 40.8259554, 'longitude': -73.9468552}",4.8,"{'text': 'Oh Craft! Beer & Wine', 'languageCode': 'en'}",40.826043959518,-73.947021545774,1740 Amsterdam Ave
"1739 Amsterdam Ave, New York, NY 10031, USA","{'latitude': 40.8259559, 'longitude': -73.9468807}",4.4,"{'text': 'Village Chicken & Burger', 'languageCode': 'en'}",40.826043959518,-73.947021545774,1740 Amsterdam Ave
"3500 Broadway, New York, NY 10031, USA","{'latitude': 40.825148299999995, 'longitude': -73.9510651}",4.4,"{'text': 'Malecón Express Restaurant', 'languageCode': 'es'}",40.825269083716,-73.951282216525,3502 Broadway
