job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,letter_type,observations,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
PC8596214,2026-08-31T10:05:49.000,Treatments,1141,WYATT STREET,10460,Bronx,Bait applied,,,2039060087,2,3906,87,40.839076853776,-73.876627905806,"{'latitude': '40.839076853776', 'longitude': '-73.876627905806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,60,2028367,West Farms,1018387,245002
PC8702359,2026-08-31T10:05:56.000,Compliance,1046,CLAY AVENUE,10456,Bronx,Failed for Rat Activity and Other Reason,Summons Issued,"Droppings, Burrows, Runways, Garbage, Harborage",2024250005,2,2425,5,40.828493314357,-73.912756840759,"{'latitude': '40.828493314357', 'longitude': '-73.912756840759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,143,2002052,Concourse-Concourse Village,,
PC8704703,2026-08-31T10:07:00.000,Treatments,1406,PACIFIC STREET,11216,Brooklyn,Bait applied,,,3012090014,3,1209,14,40.677292700168,-73.943415969387,"{'latitude': '40.677292700168', 'longitude': '-73.943415969387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,313,3030134,Crown Heights (North),,
PC8678338,2026-08-31T10:09:00.000,Treatments,1,EAST 170 STREET,10452,Bronx,Bait applied,,,2028437501,2,2843,7501,40.840175713853,-73.91754097148,"{'latitude': '40.840175713853', 'longitude': '-73.91754097148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,223,2008091,Mount Eden-Claremont (West),,
PC8739228,2026-08-31T10:09:48.000,Compliance,226,EAST 83 STREET,10028,Manhattan,Failed for Rat Activity,Summons Issued,"Droppings, Burrows",1015280036,1,1528,36,40.776537463959,-73.954661441016,"{'latitude': '40.776537463959', 'longitude': '-73.954661441016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,138,1048671,Upper East Side-Yorkville,,
PC8768188,2026-08-31T10:10:00.000,Initial,19,MAUJER STREET,11206,Brooklyn,Failed for Rat Activity and Other Reason,COTA,"Droppings, Burrows, Harborage",3027850001,3,2785,1,40.710279876179,-73.950403509285,"{'latitude': '40.710279876179', 'longitude': '-73.950403509285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,513,3251771,Williamsburg,998000,198057
PC8762940,2026-08-31T10:10:19.000,Compliance,463,CLASSON AVENUE,11238,Brooklyn,Failed for Other Reason,Summons Issued,Harborage,3019850005,3,1985,5,40.684817341169,-73.959187819558,"{'latitude': '40.684817341169', 'longitude': '-73.959187819558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,229,3056956,Bedford-Stuyvesant (West),,
PC8728979,2026-08-31T10:10:45.000,Compliance,279,NOSTRAND AVENUE,11216,Brooklyn,Failed for Rat Activity,Summons Issued,"Droppings, Burrows, Runways",3017890001,3,1789,1,40.68922237953,-73.951324307032,"{'latitude': '40.68922237953', 'longitude': '-73.951324307032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,251,3338668,Bedford-Stuyvesant (West),,
PC8758153,2026-08-31T10:11:06.000,Compliance,619,MARCY AVENUE,11206,Brooklyn,Failed for Rat Activity,,Droppings,3017670105,3,1767,105,40.693569019343,-73.948840117582,"{'latitude': '40.693569019343', 'longitude': '-73.948840117582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3393750,Bedford-Stuyvesant (West),,
PC8591611,2026-08-31T10:13:44.000,Compliance,125,WEST 72 STREET,10023,Manhattan,Failed for Rat Activity,Summons Issued,Burrows,1011440023,1,1144,23,40.777914304095,-73.979978695654,"{'latitude': '40.777914304095', 'longitude': '-73.979978695654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,6,157,1029932,Upper West Side-Lincoln Square,,
