inspection_type,job_id,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,location,community_board,council_district,census_tract,nta,bbl,bin,x_coord,y_coord
Initial,PC8758956,3,1227,25,748,ST MARKS AVENUE,11216,40.675104745116,-73.948454169097,Brooklyn,2026-08-10T10:04:12.000,Failed for Rat Activity,"{'latitude': '40.675104745116', 'longitude': '-73.948454169097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,31701,Crown Heights (North),3012270025,3031000,,
Treatments,PC8702178,1,758,37,481,8 AVENUE,10001,40.752288062254,-73.9934021983,Manhattan,2026-08-10T10:05:18.000,Bait applied,"{'latitude': '40.752288062254', 'longitude': '-73.9934021983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,3,111,Chelsea-Hudson Yards,1007580037,1013561,,
Compliance,PC8721518,2,2627,53,879,CAULDWELL AVENUE,10456,40.822318840967,-73.907276644352,Bronx,2026-08-10T10:05:30.000,Failed for Rat Activity,"{'latitude': '40.822318840967', 'longitude': '-73.907276644352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,18502,Morrisania,2026270053,2004477,,
Initial,PC8758984,3,1205,14,1142,PACIFIC STREET,11216,40.678131955478,-73.954267124661,Brooklyn,2026-08-10T10:06:24.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.678131955478', 'longitude': '-73.954267124661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,221,Crown Heights (North),3012050014,3324459,,
Initial,PC8751418,3,5026,100,580,FLATBUSH AVENUE,11225,40.659568624418,-73.960576551276,Brooklyn,2026-08-10T10:08:10.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.659568624418', 'longitude': '-73.960576551276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,40,79802,Prospect Lefferts Gardens-Wingate,3050260100,3114603,995188,179580
Compliance,PC8746766,1,1643,28,169,EAST 115 STREET,10029,40.797630358631,-73.941377379639,Manhattan,2026-08-10T10:08:25.000,Failed for Rat Activity,"{'latitude': '40.797630358631', 'longitude': '-73.941377379639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,182,East Harlem (North),1016430028,1052246,,
Initial,PC8757882,1,1915,25,111,WEST 130 STREET,10027,40.811220825145,-73.943821869494,Manhattan,2026-08-10T10:09:00.000,Failed for Rat Activity,"{'latitude': '40.811220825145', 'longitude': '-73.943821869494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,226,Harlem (North),1019150025,1058039,,
Stoppage,PC8755557,3,1666,41,262,Malcolm X Boulevard,11233,40.684050733824,-73.929297917751,Brooklyn,2026-08-10T10:09:00.000,Stoppage done,"{'latitude': '40.684050733824', 'longitude': '-73.929297917751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,295,Bedford-Stuyvesant (East),3016660041,3046512,,
Initial,PC8763369,2,2948,58,1790,CLINTON AVENUE,10457,40.841931183523,-73.892846673838,Bronx,2026-08-10T10:09:29.000,Failed for Other Reason,"{'latitude': '40.841931183523', 'longitude': '-73.892846673838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,36902,Tremont,2029480058,2009945,1013898,246036
Initial,PC8759312,3,1142,38,DEAN,STREET,11238,,,Brooklyn,2026-08-10T10:11:57.000,Failed for Other Reason,,,,,,,,,
Stoppage,PC8726992,3,1500,7,189,RALPH AVENUE,11233,40.68329720442,-73.922779879092,Brooklyn,2026-08-10T10:13:00.000,Stoppage done,"{'latitude': '40.68329720442', 'longitude': '-73.922779879092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,41,377,Bedford-Stuyvesant (East),3015000007,3040259,,
Initial,PC8756901,2,2461,58,960,GRAND CONCOURSE,10451,40.82929823514,-73.9213450609,Bronx,2026-08-10T10:13:10.000,Failed for Other Reason,"{'latitude': '40.82929823514', 'longitude': '-73.9213450609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,18301,Concourse-Concourse Village,2024610058,2002815,,
Treatments,PC8720316,3,1634,65,493,MONROE STREET,11221,40.686997794675,-73.937310372265,Brooklyn,2026-08-10T10:14:07.000,Bait applied,"{'latitude': '40.686997794675', 'longitude': '-73.937310372265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,277,Bedford-Stuyvesant (East),3016340065,3044617,,
